,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
8142,EC-3.1.3.73,"['ADENOSYLCOBALAMIN-5-P', 'WATER']","['ADENOSYLCOBALAMIN', 'Pi']", 7.217041
8143,EC-3.1.3.73,"['CPD-20852', 'WATER']","['CPD-20853', 'Pi']", 7.217041
8144,EC-3.1.3.73,"['CPD-20830', 'WATER']","['CPD-20841', 'Pi']", 7.2169647
8145,EC-3.1.3.73,"['CPD-20839', 'WATER']","['CPD-20846', 'Pi']", 7.2170105
8146,EC-3.1.3.73,"['CPD-13940', 'WATER']","['CPD-20847', 'Pi']", 7.217071499999999
8147,EC-3.1.3.73,"['CPD-20855', 'WATER']","['CPD-20849', 'Pi']", 7.2170258
8148,EC-3.1.3.73,"['CPD-20856', 'WATER']","['CPD-17189', 'Pi']", 7.2170105
8149,EC-3.1.3.73,"['CPD-20828', 'WATER']","['CPD-20842', 'Pi']", 7.2169647
8150,EC-3.1.3.74,"['PYRIDOXAMINE-5P', 'WATER']","['PYRIDOXAMINE', 'Pi']",5.9687195
8151,EC-3.1.3.74,"['PYRIDOXINE-5P', 'WATER']","['PYRIDOXINE', 'Pi']", 7.2170105
8152,EC-3.1.3.75,"['PHOSPHORYL-CHOLINE', 'WATER']","['CHOLINE', 'Pi']",5.9687347
8153,EC-3.1.3.76,"['CPD-8999', 'WATER']","['PROTON', 'CPD-85', 'Pi']",15.532851999999998
8154,EC-3.1.3.77,"['PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA', 'WATER']","['1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA', 'Pi']",0.6906738
8155,EC-3.1.3.78,"['CPD-10683', 'WATER']","['CPD-10684', 'Pi']",7.21698
8156,EC-3.1.3.79,"['MI-HEXAKISPHOSPHATE', 'WATER']","['CPD-534', 'Pi']",19.699463
8157,EC-3.1.3.8,"['23-DIPHOSPHOGLYCERATE', 'WATER']","['2-PG', 'Pi']",14.791687
8158,EC-3.1.3.80,"['DIACYLGLYCEROL-PYROPHOSPHATE', 'WATER']","['L-PHOSPHATIDATE', 'Pi', 'PROTON']",-6.8129272
8159,EC-3.1.3.81,"['D-BETA-D-HEPTOSE-17-DIPHOSPHATE', 'WATER']","['D-BETA-D-HEPTOSE-1-P', 'Pi']",9.713500999999999
8160,EC-3.1.3.82,"['CPD-12334', 'WATER']","['CPD-12335', 'Pi']",9.713500999999999
8161,EC-3.1.3.83,"['CPD-10794', 'WATER']","['ADENOSINE_DIPHOSPHATE_RIBOSE', 'Pi']",9.713500999999999
8162,EC-3.1.3.84,"['CPD-9189', 'WATER']","['CPD-9190', 'Pi']",8.46521
8163,EC-3.1.3.85,"['PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE', 'WATER']","['1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH', 'Pi']",3.1868896
8164,EC-3.1.3.86,"['2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP', 'WATER']","['CPD-85', 'Pi']",8.4652405
8165,EC-3.1.3.87,"['CPD-14178', 'WATER']","['CPD-14143', 'Pi']",2.2240142999999994
8166,EC-3.1.3.88,"['DGMP', 'WATER']","['DEOXYGUANOSINE', 'Pi']",7.2170105
8167,EC-3.1.3.89,"['Deoxy-Ribonucleoside-Monophosphates', 'WATER']","['Deoxy-Ribonucleosides', 'Pi']",-3.0541382
8168,EC-3.1.3.89,"['DAMP', 'WATER']","['DEOXYADENOSINE', 'Pi']", 7.2170105
8169,EC-3.1.3.89,"['DUMP', 'WATER']","['DEOXYURIDINE', 'Pi']", 7.2170105
8170,EC-3.1.3.89,"['DCMP', 'WATER']","['DEOXYCYTIDINE', 'Pi']", 7.2170105
8171,EC-3.1.3.89,"['WATER', 'TMP']","['Pi', 'THYMIDINE']", 7.2170105
8172,EC-3.1.3.9,"['D-glucopyranose-6-phosphate', 'WATER']","['Glucopyranose', 'Pi']",7.21698
8173,EC-3.1.3.90,"['CMP', 'WATER']","['CYTIDINE', 'Pi']",7.2170105
8174,EC-3.1.3.91,"['7-METHYLGUANOSINE-5-PHOSPHATE', 'WATER']","['CPD-15544', 'Pi']",5.9687653
8175,EC-3.1.3.92,"['CPDQT-4', 'WATER']","['L-Galactopyranose', 'Pi']",7.21698
8176,EC-3.1.3.93,"['GALACTOSE-1P', 'WATER']","['D-galactopyranose', 'Pi']",7.21698
8177,EC-3.1.3.94,"['1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH', 'WATER']","['1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA', 'Pi']",0.6906738
8178,EC-3.1.3.95,"['PSEUDOURIDINE-5-P', 'WATER']","['CPD-497', 'Pi']",7.21698
8179,EC-3.1.3.96,"['Nucleoside-3-5-bisphosphate', 'WATER']","['Nucleoside-Monophosphates', 'Pi']",-0.5576171999999999
8180,EC-3.1.3.97,"['IMP', 'WATER']","['INOSINE', 'Pi']",7.2170105
8181,EC-3.1.3.99,"['Polynucleotide-Holder', 'WATER']","['5-Phosphomononucleotides', '5-phosphooligonucleotides']",No-Data
8182,EC-3.1.30.1,"['Polynucleotide-Holder', 'WATER']","['5-Phosphomononucleotides', '5-phosphooligonucleotides']",No-Data
8183,EC-3.1.30.2,"['Polynucleotide-Holder', 'WATER']","['3-phosphooligonucleotides', '3-Prime-Nucleoside-Monophosphates']",No-Data
8184,EC-3.1.31.1,"['L-1-PHOSPHATIDYL-GLYCEROL', 'WATER']","['DIACYLGLYCEROL', 'GLYCEROL-3P', 'PROTON']",66.03546
8185,EC-3.1.4,"['CPD-10712', 'WATER']","['Ditrans-polycis-polyprenols', 'PPI']",-3.742981
8186,EC-3.1.4,"['CPD-9007', 'WATER']","['PROTON', 'CPD-10794']", -112.03948999999999
8187,EC-3.1.4,"['MIP2C', 'WATER']","['Alpha-hydroxyphytoceramides', 'CPD-14768']", 323.32068
