EC-NUMBER,UNIQUE-ID,ERXN-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
EC-1.8.1.4,"['RXN-7719', '1.8.1.4-RXN', 'RXN-8629', 'RXN0-1132']","[['ENZRXNCEQ-3313', 'ENZRXN-16631', 'ENZRXN-12376'], ['ENZRXN0-6494', 'ENZRXN-22641', 'ENZRXNCEQ-3309', 'ENZRXN490-629', 'ENZRXN-22257', 'ENZRXNCEQ-3312'], ['ENZRXN0-6327', 'ENZRXN490-631', 'ENZRXN66-6069', 'ENZRXNCEQ-3310', 'ENZRXN-13785'], ['ENZRXN0-1306', 'ENZRXN490-630', 'ENZRXN-22256', 'ENZRXN66-3904', 'ENZRXNCEQ-3311', 'ENZRXN-2908', 'ENZRXN-12060']]","[['BCAA-dehydrogenase-DH-lipoyl', 'NAD'], ['Dihydro-Lipoyl-Proteins', 'NAD'], ['DIHYDROLIPOYL-GCVH', 'NAD'], ['Pyruvate-dehydrogenase-dihydrolipoate', 'NAD']]","[['BCAA-dehydrogenase-lipoyl', 'NADH', 'PROTON'], ['Lipoyl-Protein-N6-lipoyllysine', 'NADH', 'PROTON'], ['PROTEIN-LIPOYLLYSINE', 'NADH', 'PROTON'], ['Pyruvate-dehydrogenase-lipoate', 'NADH', 'PROTON']]","[19.404053, 19.404022, 19.404022, 19.404053]"
EC-1.8.1.5,['RXN-17590'],[['ENZRXN-24735']],"[['MALONATE', 'CoM', 'NADP']]","[['CPD-19008', 'NADPH', 'CARBON-DIOXIDE']]",[2.317627]
EC-1.8.1.6,GLUTATHIONE-REDUCT-NADPH-RXN,"['GLUTATHIONE-REDUCT-NADPH-ENZRXN', 'ENZRXN-10062', 'ENZRXN-5285', 'ENZRXN-5283']","['GLUTATHIONE', 'NADP']","['OXIDIZED-GLUTATHIONE', 'NADPH', 'PROTON']",-1.640625
EC-1.8.1.7,1.6.4.4-RXN,[],"['Protein-Red-Disulfides', 'NAD-P-OR-NOP']","['Protein-Ox-Disulfides', 'NADH-P-OR-NOP', 'PROTON']",10.502869
EC-1.8.1.8,THIOREDOXIN-REDUCT-NADPH-RXN,"['THIOREDOXIN-REDUCT-NADPH-ENZRXN', 'ENZRXN-17184', 'ENZRXN-2862']","['Red-Thioredoxin', 'NADP']","['Ox-Thioredoxin', 'NADPH', 'PROTON']",19.525757000000002
EC-1.8.1.9,RXN-16679,[],"['CO-A', 'NAD']","['CPD-317', 'NADH', 'PROTON']",-9.754028
EC-1.8.1.M1,RXN-9739,"['ENZRXN-15548', 'ENZRXN-15410']","['DMSO', 'NADH-P-OR-NOP', 'PROTON']","['CPD-7670', 'WATER', 'NAD-P-OR-NOP']",2.0923462
EC-1.8.1.M2,SULFITE-DEHYDROGENASE-RXN,"['ENZRXN-13076', 'ENZRXN-13066', 'ENZRXN-13004', 'ENZRXN-12965', 'ENZRXN-12958']","['SO3', 'Cytochromes-C-Oxidized', 'WATER']","['SULFATE', 'Cytochromes-C-Reduced', 'PROTON']",-16.719467
EC-1.8.2.1,THIOSULFATE-DEHYDROGENASE-RXN,"['ENZRXN-22592', 'ENZRXN-13125', 'ENZRXN-14112', 'ENZRXN-13126']","['Cytochromes-C-Oxidized', 'S2O3']","['CPD-14', 'Cytochromes-C-Reduced', 'PROTON']",-21.080597
EC-1.8.2.2,RXN-8156,"['ENZRXN-13072', 'ENZRXN-12946', 'ENZRXN-12945']","['HS', 'Cytochromes-C-Oxidized']","['Elemental-Sulfur', 'Cytochromes-C-Reduced', 'PROTON']",-6.1264650000000005
EC-1.8.2.3,RXN-9763,['ENZRXN-15458'],"['CPD-7670', 'WATER', 'Oxidized-cytochromes-c2']","['DMSO', 'Reduced-cytochromes-c2', 'PROTON']",-6.439476
EC-1.8.2.4,RXN-8339,"['ENZRXN-13240', 'ENZRXN-13239', 'ENZRXN-13061', 'ENZRXN-13065']","['SO3', 'HS', 'Cytochromes-c3-Oxidized']","['S2O3', 'Cytochromes-c3-Reduced', 'PROTON']",-0.66822815
EC-1.8.2.5,RXN-18798,['ENZRXN-25756'],"['SoxY-S-S-Thiocysteine', 'WATER', 'Cytochromes-C-Oxidized']","['SoxY-Thiocysteine-Sulfate', 'Cytochromes-C-Reduced', 'PROTON']",-1.7784348
EC-1.8.2.6,RXN-8910,[],"['CPD-17436', 'OXYGEN-MOLECULE', 'WATER']","['CPD-9307', 'HYDROGEN-PEROXIDE']",-20.803005
EC-1.8.3,"['RXN-17169', 'RXN-8905', 'RXN-8915', 'RXN-17156']","[[], ['ENZRXN-14405'], ['ENZRXN-26306'], ['ENZRXN-24319']]","[['CPD-18558', 'OXYGEN-MOLECULE'], ['CPD-9298', 'OXYGEN-MOLECULE', 'WATER'], ['CPD-9300', 'OXYGEN-MOLECULE', 'WATER'], ['CPD-18549', 'OXYGEN-MOLECULE']]","[['CPD-18540', 'HYDROGEN-PEROXIDE'], ['CPD-9269', 'HYDROGEN-PEROXIDE'], ['CPD-9280', 'HYDROGEN-PEROXIDE'], ['CPD-18541', 'HYDROGEN-PEROXIDE']]","[-28.75003, -20.803009, -20.803009, -28.750092]"
EC-1.8.3.1,THIOL-OXIDASE-RXN,['ENZRXN-18741'],"['OXYGEN-MOLECULE', 'Sulfhydryls']","['CPD-8529', 'HYDROGEN-PEROXIDE']",-8.207759
EC-1.8.3.2,['RXN-15684'],[['ENZRXN-23085']],"[['CPD-17049', 'OXYGEN-MOLECULE']]","[['CPD-17050', 'HYDROGEN-PEROXIDE']]",[-47.300007]
EC-1.8.3.3,METHANETHIOL-OXIDASE-RXN,['ENZRXN-15411'],"['CPD-7671', 'OXYGEN-MOLECULE', 'WATER']","['FORMALDEHYDE', 'HS', 'HYDROGEN-PEROXIDE']",-12.703
EC-1.8.3.4,1.8.3.5-RXN,[],"['WATER', 'OXYGEN-MOLECULE', 'S-PRENYL-L-CYSTEINE']","['PRENAL', 'HYDROGEN-PEROXIDE', 'CYS']",-20.133003
EC-1.8.3.5,['RXN-18932'],[[]],"[['CPD-20305', 'OXYGEN-MOLECULE', 'WATER']]","[['CPD-20303', 'HYDROGEN-PEROXIDE', 'CYS']]",[51.76484]
EC-1.8.3.6,RXN-16226,['ENZRXN-23446'],"['Sulfatase-L-cysteine', 'OXYGEN-MOLECULE', 'Thiols']","['Protein-formylglycine', 'HS', 'WATER', 'Disulfides']",-50.29252
EC-1.8.3.7,RXN-16870,['ENZRXN-24028'],"['CPD-18199', 'OXYGEN-MOLECULE']","['CPD-17940', 'HYDROGEN-PEROXIDE']",-28.850004
EC-1.8.3.M1,['RXN-16869'],[['ENZRXN-24029']],"[['CPD-18198', 'OXYGEN-MOLECULE']]","[['CPD-17948', 'HYDROGEN-PEROXIDE']]",[-28.849998]
EC-1.8.4,1.8.4.1-RXN,[],"['HOMOCYSTINE', 'GLUTATHIONE']","['OXIDIZED-GLUTATHIONE', 'HOMO-CYS']",-0.62415314
EC-1.8.4.1,RXN-12019,['ENZRXN-18511'],"['SO3', 'AMP', 'Ox-Thioredoxin', 'PROTON']","['APS', 'Red-Thioredoxin']",-24.238892
EC-1.8.4.10,RXN-8668,['ENZRXN0-962'],"['Protein-L-methionine', 'Ox-Thioredoxin', 'WATER']","['Protein-L-methionine-S-S-oxides', 'Red-Thioredoxin']",-12.595245
EC-1.8.4.11,1.8.4.12-RXN,['ENZRXN0-963'],"['Protein-L-methionine', 'Ox-Thioredoxin', 'WATER']","['Protein-L-methionine-R-S-oxides', 'Red-Thioredoxin']",-12.595245
EC-1.8.4.12,1.8.4.13-RXN,"['ENZRXN0-941', 'ENZRXN0-5061']","['MET', 'Ox-Thioredoxin', 'WATER']","['CPD-8989', 'Red-Thioredoxin']",-12.595245
EC-1.8.4.13,1.8.4.14-RXN,"['ENZRXN0-6403', 'ENZRXN0-942']","['MET', 'Ox-Thioredoxin', 'WATER']","['CPD-8990', 'Red-Thioredoxin']",-12.595245
EC-1.8.4.14,PRODISULFREDUCT-RXN,[],"['GLUTATHIONE', 'Protein-Ox-Disulfides']","['OXIDIZED-GLUTATHIONE', 'Protein-Red-Disulfides']",-21.166412
EC-1.8.4.2,['RXN-19629'],[[]],"[['GLUTATHIONE', 'SULFO-CYSTEINE']]","[['OXIDIZED-GLUTATHIONE', 'CYS', 'SO3', 'PROTON']]",[-36.23242]
EC-1.8.4.3,RXN-14497,[],"['CPD0-1564', 'GLUTATHIONE']","['OXIDIZED-GLUTATHIONE', 'D-CYSTEINE']",-0.6241760000000001
EC-1.8.4.4,['1.8.4.4-RXN'],[[]],"[['CYSTINE', 'GLUTATHIONE']]","[['OXIDIZED-GLUTATHIONE', 'CYS']]",[3.4258422999999993]
EC-1.8.4.7,1.8.4.8-RXN,"['PAPSSULFOTRANS-ENZRXN', 'ENZRXN-13140']","['3-5-ADP', 'SO3', 'Ox-Thioredoxin', 'PROTON']","['PAPS', 'Red-Thioredoxin']",20.970154
EC-1.8.4.8,1.8.4.9-RXN,"['ENZRXN-22606', 'ENZRXN-13161', 'ENZRXN-12661', 'ENZRXN-12660', 'ENZRXN-12659']","['PROTON', 'SO3', 'AMP', 'OXIDIZED-GLUTATHIONE']","['APS', 'GLUTATHIONE']",-3.0724792
EC-1.8.4.9,['RXN-12721'],[[]],"[['SELENITE', 'AMP', 'OXIDIZED-GLUTATHIONE', 'PROTON']]","[['CPD-13713', 'GLUTATHIONE']]",[-28.744263]
EC-1.8.4.M3,RXN-20162,[],"['Ox-Thioredoxin', 'Protein-Dithiols']","['Red-Thioredoxin', 'Protein-Disulfides']",No-Data
